#	January						February						March						     April						May						June						July						August 						  September						   October						   November						   December					
#	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014
Andaman and Nicobar Island	15.2	98.2	222.5	124	67.1	41.9	6.2	5.8	81.9	45.7	37.6	8.6	37.8	0.4	305.5	29.6	43	0	138.4	12.7	83.7	58.5	46.3	11.1	317	310.7	305.7	538.1	509.3	238	620	435	418.4	463	777	416.6	302.5	522.1	575.8	325.4	564.8	467.6	385.4	550	513	380	336.7	321.6	363.9	261.3	770.9	886.4	473.6	412.9	275.6	415.2	183.8	207.9	455.8	402.6	70.7	281.4	126	272.1	354.2	201.2	81.8	254.4	246.3	185.3	92.3	100.4
Arunachal Pradesh	26.8	0.4	37.6	45.8	18.5	19	72.3	10	36.8	44.2	40.5	101.9	65.5	143.6	121.5	131.4	115.1	80.3	171.9	245.8	114.7	288.8	175.1	86.7	165.9	273.8	157.8	182	335.8	299	383.5	397.3	336.8	525.8	290	415.8	485.3	426	553.5	499.2	329.6	392.4	418.6	343.3	225.8	298.9	230.2	599.6	224.9	407.4	262	522.1	316.1	343	102.7	84.4	46.8	173.5	164.1	35.1	36.5	59.7	19.8	15.6	13.3	20.1	9.4	6	10.3	33.8	14.6	10.2
Assam and Meghalaya	3.9	0.2	9	8.3	1.1	2	10.9	3.4	11.5	5.7	9.5	28.1	41	105.1	114.8	19.4	44.4	29.5	129.9	397.4	77.3	209.6	112.1	51.1	216.6	349.4	235.1	158.6	347	342	295.7	485.8	323.7	651	285.6	414.9	394.2	374.3	399.6	472.6	366.4	370.3	457.2	346.2	320	265	291.2	474.1	169.9	316.2	213.3	349.8	225.3	421.7	129.1	103.4	36.8	167.2	125.9	34.7	11.8	10.3	14.8	11	1.1	3.1	2.8	7	2.4	3.1	2	0.4
Nagaland,Manipur, Mizoram and Tripura	0.1	0.9	7.9	6	0.2	1.2	5.1	10.9	4.2	3	5.7	21	25.5	59.4	50.2	32.8	19.7	25.4	79.4	170.4	58.3	196.4	60.3	49.6	201.6	312.1	360.1	124.6	348.9	192.5	186.2	402.9	343.7	384.6	206.6	268.3	293.7	272.6	262.7	249.1	255.9	295.7	318.2	326	275.8	260.9	291.3	372.3	192.5	235.9	212.3	228	241.4	300.9	130.8	202.7	79.8	142.4	125.6	69.6	13.4	5	0	41.3	0.3	3.3	0	28.4	0	0.1	1.2	0.1
Sub-Himalayan,West Bengal & Sikkim	1.7	1.7	7.1	20.5	3	0.2	2.1	6.4	19.3	9.4	23.6	26.6	39	34.9	48.6	35.7	32.1	37.7	149.2	166.8	129.2	156.1	114.7	47.9	285.6	332.2	219.6	168.7	296.5	308.6	346.3	568.1	433	609.4	404.9	543.2	468	667.9	602.5	672	588.4	384.6	545	551.4	457.8	334.3	416.3	563.3	173.1	399.2	378.1	475.7	308	371.5	260.8	90.8	40.1	139.4	199.8	31.2	2	27.4	21.1	6.1	16.1	5.3	2.3	2.5	3.6	3	2.7	2.4
Gangetic West Bengal	2.4	2.4	2.6	39.2	2.4	0.7	1	14.1	2.8	14.8	10.5	41.9	20.6	6.4	40.9	4.3	6.6	18.8	2	13.6	89.9	60.6	48.4	1.7	229.2	123.7	114.4	48.8	210.7	120.3	69.6	200.2	428.6	140	247.9	182.6	278.7	193.8	225.9	309.1	266.1	300.6	329.6	187.6	445.5	250.9	398.8	295.9	293.7	205.8	291.6	256.5	255	222.4	82.4	99.4	28.6	64.1	358.3	56.3	13.2	5.8	0.9	46.6	0	0.1	0.1	31.6	0	23.3	0	0.5
Orissa	0	9.9	0.3	55.4	3.3	0	0	2.4	20.7	6.5	7.8	17.6	3.7	6	4.4	0.6	2.1	25.1	2.8	9.6	62.8	51.3	53.6	11.7	75.8	91.9	80.3	23.5	57.7	111.9	92.2	154	215.3	165	272.6	92.2	610.8	315.4	203	320.3	380	496.2	299.1	286.8	336.9	411.5	254.9	386.3	165.9	235.7	352.3	247.2	208.1	281.1	113.9	142.6	23.3	69.2	390.9	111.8	33.2	38	0	76.1	1.2	2.2	0.4	40	0.9	3.6	0	0.9
Bihar Plateau	9.2	0.8	5.3	32.6	1.1	9.9	0	2.1	1.1	11.6	17.9	47.5	9.6	2.7	10.8	1.9	1.6	22.9	0.9	12.9	24.9	15.1	22.3	1.9	67.7	38.6	46.3	11.2	85	98.2	93.9	108.3	329.4	128	181.5	139.7	218.2	181.4	161.6	305.1	211.1	321.3	275.3	182.9	387	285.8	278.1	290.9	251.8	175.5	282.6	219.6	173.8	178.2	121.5	59.5	25.7	27.1	281.1	44.9	11	4.5	0	53.8	0	0	2	34.5	0.1	10.2	0	1.2
Bihar Plains	1.5	0.2	2.6	15.2	5.1	17	1.1	1.9	6.1	2.8	22.6	33.5	2.5	0.2	8.4	6.5	0.6	8.4	1.7	3.4	30.3	23.3	32.3	0.7	155.8	84.7	101	17.5	89.5	103.9	66.3	114.7	232.8	89.3	183.3	115.2	232.8	277.2	258.8	297.8	182	265.4	319.1	228.7	299.3	203.2	213.6	307.6	132.8	175.2	267.7	222.7	143.3	160.3	73.9	53.4	7.3	40.7	197.1	47.8	4.7	1.9	2.9	5.1	0.4	0	1.5	0.4	0.1	0	0	1.2
Uttar Pradesh East	0.1	2.9	1.7	31.1	6.1	47.5	1.1	12.9	8.4	11	59.7	25.8	2.3	0	4.8	5.4	2.7	15.5	0.8	0.1	3.9	4.6	8.7	1.7	38	18	33.6	0.5	1.1	10.7	35.3	29.2	171.5	25.9	310.1	47.8	176	236.1	214.9	312.9	230	224.5	208.4	240.5	258.7	234	246.3	138.1	145.4	196.7	176.3	225.8	78.2	106.6	92.3	16.8	1.1	1.4	97.4	74.9	7	5.1	0	0.3	0.5	0	4.4	0.2	0	0.7	1.1	8.3
